"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"1",11448034,"JB437964","09/13/2018 02:00:00 PM","050XX S LAWNDALE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET",FALSE,FALSE,"0821","008",14,62,"14",1152560,1870937,2018,"09/20/2018 04:03:40 PM",41.801707371,-87.716034394,"(41.801707371, -87.716034394)"
"2",11372016,"JB338867","07/06/2018 11:00:00 PM","028XX W CERMAK RD","0460","BATTERY","SIMPLE","STREET",FALSE,FALSE,"1023","010",12,30,"08B",1157759,1889262,2018,"07/13/2018 03:50:04 PM",41.851889359,-87.696469311,"(41.851889359, -87.696469311)"
"3",11361191,"JB324569","06/25/2018 02:00:00 AM","064XX S FRANCISCO AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT",FALSE,FALSE,"0823","008",15,66,"14",1158156,1861718,2018,"07/02/2018 03:51:34 PM",41.776297035,-87.695762262,"(41.776297035, -87.695762262)"
"4",11408593,"JB386073","08/09/2018 05:45:00 AM","035XX W 12TH PL","0820","THEFT","$500 AND UNDER","STREET",FALSE,FALSE,"1021","010",24,29,"06",1153021,1894062,2018,"08/16/2018 04:02:38 PM",41.865156224,-87.71373199,"(41.865156224, -87.71373199)"
"5",11495958,"JB500959","11/02/2018 07:40:00 AM","046XX S FEDERAL ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET",FALSE,FALSE,"0215","002",3,38,"07",1176467,1874418,2018,"11/09/2018 04:14:25 PM",41.810754956,-87.628253619,"(41.810754956, -87.628253619)"
"6",11360424,"JB323738","06/25/2018 05:00:00 PM","103XX S COTTAGE GROVE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE",FALSE,FALSE,"0512","005",9,50,"14",1182644,1836387,2018,"07/02/2018 03:51:34 PM",41.706252684,-87.606775345,"(41.706252684, -87.606775345)"
"7",11456482,"JB448749","09/19/2018 01:50:00 PM","049XX S ARCHER AVE","1563","SEX OFFENSE","CRIMINAL SEXUAL ABUSE","SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,"0821","008",14,57,"17",1150934,1871470,2018,"09/27/2018 03:56:15 PM",41.803201891,-87.72198373,"(41.803201891, -87.72198373)"
"8",11256663,"JB182696","03/12/2018 10:00:00 AM","083XX S ELIZABETH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT",FALSE,TRUE,"0613","006",21,71,"08B",1169441,1849576,2018,"05/04/2018 03:51:04 PM",41.742740762,-87.654743231,"(41.742740762, -87.654743231)"
"9",11281143,"JB218372","04/10/2018 12:26:00 PM","022XX W 19TH ST","143B","WEAPONS VIOLATION","UNLAWFUL POSS OTHER FIREARM","SIDEWALK",TRUE,FALSE,"1234","012",25,31,"15",1161729,1890703,2018,"05/04/2018 03:51:04 PM",41.855761887,-87.681858216,"(41.855761887, -87.681858216)"
"10",11273889,"JB208765","04/01/2018 08:00:00 AM","102XX S LA SALLE ST","0820","THEFT","$500 AND UNDER","RESIDENCE",FALSE,FALSE,"0511","005",9,49,"06",1177077,1837033,2018,"05/04/2018 03:51:04 PM",41.708152482,-87.627141885,"(41.708152482, -87.627141885)"
